,Symbol,Trade Date,Trade Type,Quantity,Price,currPrice,PnL
191,AFFLE,2023-08-25,buy,20,1091.0,1212.199951171875,2423.9990234375
215,DMART,2023-08-25,buy,8,3550.0,4045.64990234375,3965.19921875
242,SONACOMS,2023-08-25,buy,30,582.0,553.0999755859375,-867.000732421875
352,FINEORG,2023-08-25,buy,5,4522.0,4466.60009765625,-276.99951171875
180,DIVISLAB,2023-08-25,buy,8,3620.0,3696.39990234375,611.19921875
140,DEEPAKNTR,2023-08-25,buy,15,2005.0,2306.550048828125,4523.250732421875
12,TATACHEM,2023-08-25,buy,25,1001.0,1030.1500244140625,728.7506103515625
71,NAUKRI,2023-08-28,buy,3,4176.0,5221.5498046875,3136.6494140625
72,NAUKRI,2023-08-28,buy,1,4176.0,5221.5498046875,1045.5498046875
73,NAUKRI,2023-08-28,buy,1,4176.0,5221.5498046875,1045.5498046875
74,NAUKRI,2023-08-28,buy,1,4176.0,5221.5498046875,1045.5498046875
75,NAUKRI,2023-09-28,buy,4,4181.0,5221.5498046875,4162.19921875
